Time,Flux,Flux_Err,Filt,mod_flux
2069.8260258361697,168.6688,10.233466,True,168.66879272460938
2069.8464579501306,160.85435,10.232363,True,160.85435485839844
2069.8668898636242,39.777145,10.230647,True,39.77714538574219
2069.887321977112,76.035416,10.231004,True,76.03541564941406
2069.9281860022384,64.1994,10.231701,True,64.19940185546875
2069.9486179143278,64.91544,10.230024,True,64.91544342041016
2069.9690500259603,46.89179,10.230339,True,46.891788482666016
2069.9894820371264,79.67659,10.2319,True,79.67658996582031
2070.009913947819,126.917854,10.23206,True,126.91785430908203
2070.1120740961924,119.47234,10.23141,True,119.47234344482422
2070.1325062050237,73.57411,10.232394,True,73.57411193847656
2070.2142341352446,135.31049,10.233491,True,135.31048583984375
2070.2550982477915,10.848309,10.230977,True,10.848308563232422
2070.275530153369,19.58863,10.231455,True,19.58863067626953
2070.336826168699,16.556381,10.23123,True,16.556381225585938
2070.3572581728804,9.15218,10.23192,True,9.152179718017578
2070.3776902765894,31.480698,10.231713,True,31.480697631835938
2070.418554183081,29.353416,10.231841,True,29.353416442871094
2070.4389862854005,21.366543,10.234526,True,21.36654281616211
2070.459418287719,0.30046463,10.231395,True,0.3004646301269531
2070.5411463927885,64.43396,10.234691,True,64.4339599609375
2070.582010193233,160.27618,10.236378,True,160.27618408203125
2070.602442292751,51.79838,10.233701,True,51.79838180541992
2070.62287429181,51.819733,10.234572,True,51.819732666015625
2070.6637382889894,177.15665,10.239302,True,177.15664672851562
2070.704602184778,91.63066,10.237411,True,91.63066101074219
2070.7454662786986,96.93329,10.237463,True,96.93328857421875
2070.7658982749635,77.41592,10.240353,True,77.4159164428711
2070.8067622670205,121.134834,10.23979,True,121.13483428955078
2070.827194262354,117.69026,10.2389765,True,117.69026184082031
2070.868058251617,14.33297,10.236916,True,14.332969665527344
2070.888490245554,47.171482,10.237122,True,47.17148208618164
2070.908922339484,52.866886,10.23744,True,52.866886138916016
2070.9497863254946,93.78197,10.238403,True,93.78196716308594
2070.9702183184927,69.75354,10.240659,True,69.7535400390625
2070.990650210566,145.44543,10.242109,True,145.4454345703125
2071.031514293776,157.83762,10.243992,True,157.83761596679688
2071.072378275596,29.244423,10.238901,True,29.244422912597656
2071.113242155545,181.9836,10.244689,True,181.9835968017578
2071.1336742452913,142.56009,10.242516,True,142.56008911132812
2071.1541062340984,23.11665,10.238595,True,23.116649627685547
