Time,Flux,Flux_Err,Filt
2100.044646183873,-178.64987,10.463033,False
2100.0855094507788,-137.22665,10.464112,False
2100.105941084177,-120.57991,10.463985,False
2100.2285309819927,-186.01367,10.465117,False
2100.248962614576,-147.4019,10.464734,False
2100.2693941471516,-112.50548,10.465933,False
2100.289825879503,-148.58717,10.466104,False
2100.432847303382,-164.0545,10.466586,False
2100.4532790349112,-97.23365,10.468732,False
2100.47371056633,-159.57755,10.468555,False
2100.494142197742,-28.061443,10.469405,False
2100.535005460115,-129.8085,10.468907,False
2100.575868822132,-119.1954,10.470052,False
2100.5963004529694,-72.117226,10.470387,False
2100.6167319837987,-118.96672,10.470725,False
2100.6575953450083,-74.63678,10.471924,False
2100.6984586057442,-51.494034,10.47268,False
2100.7188902359994,-61.808197,10.473481,False
2100.7393219661317,-105.03743,10.472604,False
2100.7597534962697,-120.89819,10.472395,False
2100.7801851261756,-174.69525,10.472249,False
2100.8006167560743,26.09721,10.476777,True
2100.943638162258,-122.54704,10.476781,False
2100.964069791349,-74.5473,10.477308,False
2100.9845014203165,-147.13513,10.476732,False
2101.0049330491747,-112.8152,10.477994,False
2101.0253647779173,-153.95572,10.477813,False
2101.0866596636697,-101.246475,10.47896,False
2101.1275228204468,-106.02021,10.480124,False
2101.1479545486072,-98.21393,10.480223,False
2101.1683861767597,-82.7855,10.480564,False
2101.188817704686,-153.50606,10.480199,False
2101.2092494326134,-41.73372,10.4816475,False
2101.229681060533,-154.31241,10.480456,False
2101.250112788228,-71.33742,10.482061,False
2101.2705443158047,-18.406496,10.483202,False
2101.290975943375,-343.3831,10.4824095,False
2101.311407670837,-300.63483,10.483233,False
2101.331839198181,-96.35646,10.4829,False
2101.3522708254022,-136.69502,10.483214,False
2101.3727025526314,-73.71947,10.483809,False
2101.3931340797426,-134.80646,10.483262,False
2101.43399733361,-102.36096,10.485586,False
2101.4544289603728,-132.25763,10.484311,False
2101.474860587128,-84.76333,10.48515,False
2101.4952922137745,-68.41432,10.485474,False
