,ID,M,P,Q
38,203797163,-0.065,14.706,0.302
31,203774126,-0.387,1.953,0.293
261,210282528,-0.018000000000000002,2.2119999999999997,0.281
21,203703016,0.008,4.902,0.243
144,204274536,0.575,5.102,0.24
222,205000676,0.057999999999999996,3.205,0.239
117,203972079,0.115,6.41,0.231
256,205364526,-0.314,2.907,0.221
239,205152244,-0.1,1.8119999999999998,0.212
162,204398857,0.04,13.158,0.21100000000000002
258,205375290,-0.064,6.098,0.21
171,204447221,-0.32899999999999996,9.615,0.203
95,203929332,-0.073,3.571,0.201
179,204495624,0.018000000000000002,1.969,0.2
257,205366676,0.055999999999999994,3.676,0.19899999999999998
134,204193996,-0.307,15.625,0.191
220,204964091,0.322,3.906,0.19
91,203924502,0.273,3.472,0.185
276,204611292,0.028999999999999998,1.7730000000000001,0.185
51,203848625,-0.13,8.065,0.16699999999999998
32,203785905,0.491,8.929,0.166
9,203385048,0.129,1.078,0.162
224,205024407,-0.085,3.012,0.147
244,205164892,-0.061,6.579,0.13699999999999998
64,203867167,-0.121,3.165,0.126
173,204467371,0.107,1.8119999999999998,0.124
181,204501712,-0.016,2.033,0.11699999999999999
118,203981774,-0.069,0.825,0.091
226,205038557,0.024,3.846,0.086
68,203877533,-0.09,1.6230000000000002,0.085
60,203860592,0.40399999999999997,6.25,0.076
30,203770673,0.09699999999999999,2.294,0.073
240,205154017,-0.628,6.944,0.073
45,203826403,0.028999999999999998,3.968,0.067
5,203337814,-0.207,0.7809999999999999,0.063
132,204182919,-0.040999999999999995,6.757000000000001,0.042
4,203318214,0.193,4.167,0.031
203,204817605,0.021,9.259,0.021
