Time,Flux
2079.551620835664,-5179.2695
2079.5720526815203,-5128.612
2079.592484626679,-5014.6763
2079.6129163718288,-5077.592
2079.633348216521,-5243.2256
2079.653780160981,-5045.569
2079.6742120049676,-4949.4185
2079.6946437489605,-4927.67
2079.7150756922565,-5288.0776
2079.7355075355445,-4817.6084
2079.7559392783733,-4938.6294
2079.7763712209708,-4836.4307
2079.7968030633274,-4859.0576
2079.817234805225,-4649.111
2079.8580985880835,-5115.5103
2079.8785303292825,-4880.4883
2079.8989622700174,-4672.832
2079.9193941102785,-4857.5527
2079.939825850546,-4925.1255
2079.960257790117,-4820.964
2079.9806896296795,-4901.423
2080.001121468784,-4947.23
2080.0215533076553,-4835.1235
2080.0419851462866,-4864.4546
2080.0624169846924,-4615.779
2080.1032806603325,-4782.7866
2080.123712497574,-4824.0894
2080.144144334583,-4721.5044
2080.1645761713517,-4854.4316
2080.1850081078956,-4868.3486
2080.2054398439723,-4694.124
2080.2258716798096,-4883.1626
2080.2463036151894,-4534.7505
2080.2667353505676,-4772.6577
2080.2871671854737,-4803.393
2080.307599119922,-4721.3716
2080.3484626883437,-4633.752
2080.368894621861,-4570.068
2080.3893263553764,-4638.6504
2080.4097582884206,-4811.518
2080.4301901212384,-4547.1616
2080.4506218538227,-4530.694
2080.4710537859355,-4579.485
2080.491485617822,-4682.0835
2080.5119174494757,-4468.4663
2080.5323492806565,-4661.7393
2080.5527811116117,-4625.3906
2080.573212942327,-4729.7793
2080.5936447725835,-4794.5693
2080.61407660284,-4692.336
2080.6345084326313,-4785.492
2080.65494036195,-4820.3613
2080.6753720912748,-4768.6694
2080.695803920127,-4786.9487
2080.7162357485213,-4709.74
2080.7366675769154,-4869.3115
2080.757099304843,-4742.051
2080.777531232532,-4861.425
2080.797963059762,-4856.119
2080.838826713749,-4883.264
2080.8592585402803,-4832.357
2080.8796904663395,-4808.7515
2080.9001221921717,-4731.615
2080.920554017772,-4798.7783
2080.9409859431325,-4777.7876
2080.9614176680334,-4909.2725
2080.981849492702,-5057.7744
2081.0022814171316,-4910.3184
2081.0227132413347,-4942.347
2081.0635768885695,-4946.2954
2081.0840087118413,-4981.614
2081.1044404346467,-5048.7744
2081.1248723572135,-5013.113
2081.145304179554,-4896.631
2081.165735901661,-5076.527
2081.1861678232963,-5028.7524
2081.2065996447054,-4933.0767
2081.2270315658825,-5201.5557
2081.247463286585,-5174.6177
2081.2678951072958,-5044.4204
2081.2883270275415,-5133.199
2081.329190567092,-5209.395
2081.3496224864066,-5201.458
2081.3700542054794,-5174.5137
2081.3904860243274,-5006.7207
2081.4109178427098,-5116.028
2081.4517814787687,-5146.523
2081.4722132964525,-5097.2466
2081.4926451136635,-5111.297
2081.5130769308817,-5229.247
2081.5335087474014,-5119.7983
2081.553940563914,-5109.649
2081.574372379968,-5239.2124
2081.59480429579,-5184.6597
2081.61523601137,-5086.529
2081.6356679267265,-5040.343
2081.656099741609,-5067.0874
2081.6765314562654,-4976.1226
2081.6969633706904,-5111.833
2081.7173951848818,-5052.582
2081.7378268985995,-4888.284
2081.758258812093,-5088.371
2081.778690625346,-5079.0586
2081.8399860632635,-5206.6777
2081.860417875352,-5260.084
2081.8808496872152,-5171.3535
2081.9012814986054,-5336.387
2081.92171330977,-5242.9023
2081.9421451207018,-5155.809
2081.9625769314007,-5243.0273
2081.9830087416267,-5332.661
2082.00344055186,-5271.3335
2082.0238723616203,-5265.852
2082.044304270923,-5206.747
2082.064736080225,-5227.912
2082.0851677890605,-5162.362
2082.1055996976575,-5112.3286
2082.1260314060273,-5188.8506
2082.146463214158,-5335.744
2082.1668951218307,-5212.6934
2082.1873268292693,-5232.006
2082.207758636476,-5236.3574
2082.22819054321,-5198.2646
2082.24862224995,-5233.2476
2082.269054056218,-5252.085
2082.30991766807,-5285.981
2082.3303494734137,-5118.1396
2082.350781378751,-5170.672
2082.3712130836284,-5202.181
2082.3916448880336,-5268.5386
2082.412076792447,-5222.6753
2082.4325085966266,-5209.76
2082.4529404003333,-5252.225
2082.4733722038145,-5216.835
2082.49380400683,-5370.8667
2082.514235909839,-5317.5903
2082.534667612388,-5271.5034
2082.555099414705,-5436.493
2082.575531316783,-5315.3516
2082.5959630186335,-5199.8027
2082.616394820019,-5326.262
2082.6368267213984,-5271.201
2082.6572584223177,-5217.8115
2082.677690222772,-5296.4995
2082.69812212322,-5275.0327
2082.718553823208,-5197.6187
2082.7389856231966,-5359.687
2082.759417522713,-5141.178
2082.800281120828,-5208.4814
2082.8207129194125,-5162.1387
2082.8411446180035,-5231.535
2082.8615765158975,-5183.7173
2082.8820083137834,-5313.6763
2082.902440011443,-5136.697
2082.9228719086386,-5061.999
2082.9433037055933,-5127.707
2082.9637354023216,-5085.2437
2082.9841672988186,-4989.3276
2083.004599095075,-4896.0938
2083.025030790872,-5023.172
2083.0454626864375,-5069.549
2083.0658944817624,-5235.828
2083.086326176861,-5184.066
2083.1067580714953,-4989.794
2083.1271898661216,-4900.012
2083.147621560289,-5093.6694
2083.1680534542247,-4956.098
2083.1884852479197,-5123.1816
2083.20891714139,-5237.2124
2083.229348834393,-4999.9614
2083.2497806271567,-4978.3823
2083.290644212,-5088.584
2083.3110760040654,-5221.766
2083.331507895673,-5053.5156
2083.3519396872725,-5088.086
2083.372371378413,-5024.8135
2083.392803269322,-5042.0835
2083.4132350599975,-5201.4985
2083.4336667501993,-5111.676
2083.45409864041,-5130.059
2083.474530430147,-5174.43
2083.4949621196574,-5123.9917
2083.5153940089367,-5178.439
2083.5358257979824,-5065.2046
2083.556257686556,-5149.267
2083.5766893749023,-5121.8286
2083.5971211632423,-5047.3403
2083.617552951124,-5137.0557
2083.6379847387725,-4986.4644
2083.658416425955,-5199.432
2083.6788483131313,-5078.7065
2083.6992800998487,-5159.905
2083.719711786325,-5191.19
2083.7401436725777,-5055.191
2083.7810072443754,-5148.7
2083.8014390296958,-5197.884
2083.821870815016,-5267.6636
2083.8423025998636,-5058.2983
2083.8627343844855,-5236.007
2083.8831661688746,-5107.029
2083.9035979527907,-5201.041
2083.924029836715,-5235.0757
2083.944461520172,-5104.9487
2083.9648934033903,-5051.8916
2083.9853251863824,-4968.3745
2084.005756869141,-5265.73
2084.026188751661,-5266.5137
2084.0466205339544,-5134.967
2084.0670522157816,-5175.954
2084.08748409737,-5179.2456
2084.1079158789653,-5184.9907
2084.128347560094,-5301.3843
2084.1487794407512,-5187.7334
2084.169211221415,-5222.772
2084.189643001846,-5169.7036
2084.2305065615365,-5077.833
2084.2713701202956,-5244.5205
2084.2918018993296,-5234.7563
2084.3122336781307,-5194.619
2084.332665456459,-5227.8657
2084.3530972345616,-5222.284
2084.373529012664,-5367.303
2084.393960790294,-5311.105
2084.414392567698,-5220.4854
2084.43482444463,-5370.491
2084.455256121568,-5338.267
2084.4756878982735,-5178.5215
2084.496119774514,-5159.88
2084.5165514505134,-5394.6406
2084.5369832262877,-5401.563
2084.5574151018227,-5282.8276
2084.5778467771306,-5194.2886
2084.5982785522065,-5392.4976
2084.6187104268174,-5283.604
2084.6391421014196,-5071.913
2084.659573875564,-5261.824
2084.6800057494693,-5219.7173
2084.70043742338,-5204.6514
2084.720869296594,-5247.4126
2084.7617328427805,-5283.637
2084.782164615295,-5205.8545
2084.8025963878026,-5274.7124
2084.8230281598517,-5267.8647
2084.843459931668,-5307.073
2084.863891703484,-5286.076
2084.8843234745946,-5288.2993
2084.904755345713,-5397.8193
2084.92518701659,-5382.0386
2084.945618787242,-5263.461
2084.966050657429,-5232.715
2085.0069140973283,-5430.1655
2085.027345966817,-5370.872
2085.047777636064,-5398.4043
2085.0682094050862,-5338.448
2085.0886412736436,-5224.7383
2085.1090729421994,-5288.009
2085.1295048105167,-5372.3477
2085.149936478374,-5463.729
2085.170368245992,-5322.108
2085.190800113618,-5325.0713
2085.211231780777,-5248.2017
2085.2316635477036,-5276.3984
2085.252095414391,-5318.5117
2085.2725271806194,-5224.3447
2085.2929588468396,-5180.25
2085.313390712836,-5219.663
2085.3338224783656,-5259.3296
2085.3542541438947,-5265.631
2085.3746860089523,-5279.2363
2085.3951177737836,-5251.8584
2085.415549438374,-5152.1133
2085.4359813027404,-5216.127
2085.456413066873,-5222.7812
2085.497276594433,-5257.917
2085.5177083576345,-5256.9224
2085.5381402208295,-5206.029
2085.5585718835646,-5286.572
2085.5790036460676,-5279.36
2085.599435508564,-5223.998
2085.6198671706006,-5103.47
2085.640298932405,-5208.5938
2085.6607307939703,-5238.4487
2085.6811624553084,-5216.77
2085.7015942161815,-5245.244
2085.742457737688,-5153.5264
2085.7628894978625,-5101.3857
2085.7833213580307,-5179.3315
2085.8037531177397,-5162.0767
2085.824184877216,-5135.8633
2085.844616636685,-5186.255
2085.8650482956946,-5123.8105
2085.885480154473,-5165.8765
2085.9059119130106,-5128.428
2085.926343571322,-5004.2847
2085.946775429169,-5228.4673
2085.967207187008,-5134.2056
2085.987638844621,-5374.6294
2086.0080707017696,-5188.2334
2086.02850245891,-5109.6416
2086.0489341155917,-5160.391
2086.0693659722747,-5175.1235
2086.089797728484,-5203.64
2086.1102294844677,-5241.8647
2086.1306612402113,-5103.9463
2086.1510929957294,-5165.8823
2086.1715247510147,-5089.8364
2086.191956506067,-5000.8325
2086.232820115467,-5313.2573
2086.2532518698135,-5129.2544
2086.273683523934,-5063.567
2086.29411537759,-5145.9224
2086.314547131238,-5228.3164
2086.334978784427,-5208.905
2086.3554106376178,-5321.118
2086.3758423903346,-4993.483
2086.396274042825,-5160.0854
2086.416705895317,-5197.5103
2086.4371376473355,-5112.565
2086.4575692991275,-5187.7373
2086.478001150688,-5255.264
2086.498432902008,-5256.4053
2086.5188645531016,-5140.151
2086.539296403964,-5192.0283
2086.5597280545917,-5085.187
2086.580159904981,-5091.1807
2086.600591655144,-5159.527
2086.6414551545313,-5147.15
2086.6618869039958,-5173.056
2086.6823186529873,-5118.6206
2086.7231821505193,-5051.204
2086.743613899045,-5021.377
2086.7640456471127,-5081.376
2086.78447739518,-5049.8643
2086.8049091427747,-5126.056
2086.8253409901445,-5154.2095
2086.8457726375127,-5020.279
2086.866204384409,-5100.3228
2086.88663623108,-5238.5327
2086.907067877517,-5045.382
2086.9274997237153,-5064.2534
2086.9479314696873,-4990.7686
2086.9683631154257,-4984.0845
2086.9887949609256,-5055.716
2087.009226706199,-4704.476
2087.029658351239,-5004.4023
2087.0500901960404,-4815.4004
2087.0705219406154,-4970.6367
2087.0909536849576,-4765.2217
2087.1113854290597,-4789.9023
2087.1318171729363,-4838.8228
2087.152248916347,-4948.2324
2087.1726806597508,-4829.172
2087.213544145641,-4828.625
2087.2339758883463,-4920.71
2087.254407630826,-4751.833
2087.2748394728405,-4847.3076
2087.2952711148464,-4770.1377
2087.3157028566275,-4809.2017
2087.3361346979364,-5025.821
2087.356566339251,-4837.617
2087.3769980801007,-5014.612
2087.3974299209513,-4932.2246
2087.4178615613273,-5075.0884
2087.4382933017114,-4937.2812
2087.4587251416233,-5052.58
2087.479156781541,-5074.202
2087.4995885209937,-5067.1284
2087.5200203604472,-5099.5327
2087.5404519994263,-5169.5537
2087.5608837381806,-5045.1455
2087.5813155769283,-4927.397
2087.601747215216,-5010.453
2087.6221790532727,-5092.984
2087.6426107913285,-5000.6304
2087.6630425289113,-4758.7275
2087.7039060036186,-4984.1455
2087.7243377405102,-5101.906
2087.7447695774026,-5051.1997
2087.765201213828,-5085.0776
2087.7856329500137,-5140.903
2087.8060647862076,-5018.065
2087.826496421927,-5146.488
2087.8469281576545,-5002.231
2087.867359992917,-5045.945
2087.8877916279453,-4973.7324
2087.908223362967,-5006.7275
2087.928655197531,-5046.3286
2087.9490868318535,-5170.6855
2087.969518566184,-5124.779
2087.989950300049,-5058.3843
2088.0103820339136,-4828.2188
2088.0308138673063,-5064.784
2088.0512455007047,-5080.231
2088.071677233631,-4969.2524
2088.0921090663323,-4938.887
2088.112540799033,-4985.607
2088.1329724312673,-5004.038
2088.1534042634958,-4853.5586
2088.1942676270264,-4971.2324
2088.2146994585637,-4973.903
2088.2351311896346,-5010.8066
2088.2555628206974,-4907.3955
2088.2759946513033,-5014.5547
2088.2964263819085,-4961.1123
2088.316858012273,-5121.113
2088.3372898421803,-4850.2266
2088.357721572087,-4986.6045
2088.3781534017544,-5018.19
2088.3985850311947,-4905.2427
2088.41901676017,-4790.5073
2088.439448589139,-5001.418
2088.4598802178807,-4786.5415
2088.4803119463904,-4631.8887
2088.500743774661,-4756.332
2088.521175402704,-5021.6543
2088.5416071305153,-4956.591
2088.562038958087,-5014.946
2088.582470685433,-5108.4424
2088.6029023125448,-5038.5366
2088.623334139418,-4957.562
2088.643765866065,-4952.9316
2088.6846293186536,-4954.2017
2088.705061044835,-5223.67
2088.7254927705508,-4997.598
2088.7459244960264,-5106.5205
2088.7663561215086,-4993.9307
2088.7867879465193,-5059.638
2088.8072196713038,-5183.091
2088.8276512960874,-5108.4463
2088.848083120407,-4955.9106
2088.8685148447184,-4902.198
2088.8889464688036,-5120.264
2088.9093782924174,-5082.0215
2088.9298100160377,-5048.8857
2088.950241739425,-5166.9707
2088.9706734625797,-5119.0557
2088.9911051854942,-5156.094
2089.011536908183,-5141.214
2089.031968630399,-5085.88
2089.0524003526225,-5012.806
2089.0728321748466,-5028.1064
2089.093263896597,-4980.1445
2089.113695518121,-5092.0107
2089.1341273394137,-4952.588
2089.174990681524,-4943.6157
2089.195422502118,-4977.143
2089.2158542227044,-4979.663
2089.2362858428314,-5129.255
2089.25671766296,-5050.019
2089.2771493828477,-5018.363
2089.297581002509,-4997.021
2089.3180128217064,-5120.4927
2089.3384445408956,-4908.1406
2089.3588761598585,-5119.1475
2089.37930797859,-5035.1562
2089.39973959708,-4991.6455
2089.420171415346,-5002.9165
2089.440603133611,-5172.489
2089.46103475141,-5060.2275
2089.48146656897,-5084.8467
2089.5018982865367,-5078.7515
2089.5223300036305,-5094.376
2089.5427617207315,-5049.67
2089.563193437367,-4968.7163
2089.583625153995,-5055.285
2089.6040568703975,-4860.2446
2089.624488586567,-5123.133
2089.685783733672,-4943.9126
2089.706215448903,-5051.9214
2089.7266472639094,-4970.9375
2089.747078878914,-4878.9395
2089.7675106934475,-5069.8745
2089.7879424079874,-5057.183
2089.8083740222937,-5095.873
2089.8288058361286,-4990.006
2089.84923754997,-4967.3555
2089.869669163578,-4923.8516
2089.890100976947,-5172.5684
2089.91053269009,-5072.0156
2089.930964403,-5185.8228
2089.95139611567,-5029.387
2089.971827828347,-5005.477
2089.9922595405587,-4798.171
2090.012691252763,-5005.1475
2090.033122964509,-4992.569
2090.053554676255,-5057.224
2090.0739863877607,-5093.2803
2090.094418099041,-4964.5947
2090.114849910082,-4985.249
2090.1352815208957,-4936.011
2090.1557132314774,-5016.9653
2090.17614504206,-4910.898
2090.196576652168,-4934.5474
2090.217008362284,-5068.2925
2090.237440171928,-4972.8745
2090.2578717815777,-4952.168
2090.2783034909953,-5003.2095
2090.298735300181,-4887.2397
2090.3191669091248,-4924.9463
2090.339598617844,-4587.3657
2090.3600304263236,-4870.118
2090.40089374283,-4970.4805
2090.421325550851,-4755.109
2090.441757158398,-4836.4087
2090.462188965954,-4685.2085
2090.4826206732687,-4852.117
2090.503052380358,-4811.379
2090.5234840874473,-4906.9463
2090.543915794071,-4856.176
2090.5643475004545,-4859.545
2090.5847792068453,-4965.7715
2090.605210912763,-4843.9165
2090.6256426186883,-4881.167
2090.6460744243814,-5007.9062
2090.666506029833,-4830.6924
2090.6869377350595,-4826.733
2090.707369540287,-5125.3765
2090.72780114504,-5031.087
2090.748232849801,-4877.1177
2090.768664654097,-5149.781
2090.7890962583842,-5140.3877
2090.8095280624475,-5039.9844
2090.829959766277,-5106.908
2090.850391369866,-4986.163
2090.8708231732307,-4958.4253
2090.891254776594,-5122.805
2090.911686479485,-5116.5156
2090.932118282384,-5081.3237
2090.952549885049,-4979.944
2090.9729815874744,-5020.5146
2090.993413389675,-4911.0913
2091.013845091642,-5082.8706
2091.034276693601,-5116.783
2091.054708495103,-5130.405
2091.0751401966045,-5030.9805
2091.0955718978657,-4989.3984
2091.1364352997043,-5116.4175
2091.156867100268,-4959.06
2091.1772987006043,-5044.4497
2091.1977304009415,-5154.005
2091.2181622010394,-5225.186
2091.2385938006773,-4888.0454
2091.259025500316,-5073.323
2091.2794572999483,-5195.629
2091.2998888991206,-5131.7524
2091.320320598061,-5048.829
2091.3407523969945,-5215.634
2091.361183995701,-5130.2427
2091.381615693943,-5016.9526
2091.402047492178,-4946.106
2091.422479090419,-5299.413
2091.4429108881886,-5137.2407
2091.4633425859647,-5037.1704
2091.483774283275,-5043.094
2091.5042059805855,-5198.938
2091.524637677656,-5183.739
